Produto,Referencia,Preco venda,Qtde,Grupo,Caminhos
CAR-5181C-TIPO  CABO SOLTO( BLISTER) INOVA  3.1A,CAR-5181C-3.1A - TIPO C,"8,5",40,CARREGADORES,imagens/CAR-5181C-3.1A - TIPO C.webp
CAR-3118S - CARREGADOR RAPIDO C-2 USB V8 3.1A,CAR-3118S,"8,5",22,CARREGADORES,imagens/CAR-3118S.webp
RAD-8670 - CAIXA DE SOM INOVA,RAD-8670,29,103,CAIXA DE SOM,imagens/RAD-8670.webp
MD-8778 - FONE DE OUVIDO BLUETOOTH,MD-8778,36,50,FONE DE OUVIDO,imagens/MD-8778.webp
MIC-8641 - MICROFONE MULTIMIDIA,MIC-8641,30,32,MICROFONE,imagens/MIC-8641.webp
RAD-12291 - LUMINARIA + CAIXA DE SOM E MICROFONE,RAD-12291,110,20,CAIXA DE SOM,imagens/RAD-12291.webp
RAD-12290 -  LUMINARIA COM CAIXA DE SOM + CARREGADOR + DESPERTADOR,RAD-12290,102,16,CAIXA DE SOM,imagens/RAD-12290.webp
CAR-3118C - CARREGADOR RAPIDO TPC 3.1A,CAR-3118C,"8,5",21,CARREGADORES,imagens/CAR-3118C.webp
VB-601 -  CAMERA BABA ELETRONICA,VB-601,320,11,EQUIPAMENTOS DE SEGURANCAS,imagens/VB-601.webp
DIG-7020 - CONVERSOR DIGITAL INOVA,DIG-7020,75,41,INFORMATICA,imagens/DIG-7020.webp
KV-8784 - TECLADO SEM FIO,KV-8784,50,21,INFORMATICA,imagens/KV-8784.webp
CALC-7490 - CALCULADORA ELETRONICA,CALC-7490,15,164,FERRAMENTAS,imagens/CALC-7490.webp
MAG-8758 - AMPLIFICADOR DE VIDEO,MAG-8758,18,72,ACESSORIOS PARA CELULAR,imagens/MAG-8758.webp
KEY-9965 - TECLADO INOVA (COM FIO!),KEY-9965,30,29,INFORMATICA,imagens/KEY-9965.webp
PLAYER-5901 - RADIO AUTOMOTIVO AM-FM MP3,PLAYER-5901,70,25,RADIO,imagens/PLAYER-5901.webp
CON-30234 -  CONTROLE DE VIDEO-GAME,CON-30234,165,25,CONTROLE VIDEOGAME,imagens/CON-30234.webp
